Barangay,Latitude,Longitude
Abuno,8.182705939,124.2725973
Acmac,8.274925962,124.2672374
Bagong Silang,8.241024544,124.2521447
Bonbonon,8.276874093,124.2881688
Bunawan,8.183872629,124.307443
Buru-un,8.182582826,124.1780332
Dalipuga,8.315802406,124.2645851
Del Carmen,8.235816727,124.2603628
Digkilaan,8.224331208,124.4624121
Ditucalan,8.169302002,124.1894857
Dulag,8.191472049,124.3838215
Hinaplanon,8.248152679,124.2608355
Hindang,8.308672494,124.3488938
Kabacsanan,8.282610491,124.3048353
Kalilangan,8.168737691,124.4550928
Kiwalan,8.29513373,124.2705159
Lanipao,8.223136702,124.3326704
Luinab,8.245117724,124.2777277
Mahayahay,8.223708947,124.240582
Mainit,8.308387552,124.440672
Mandulog,8.244448637,124.3010131
Maria Cristina,8.179422394,124.2058393
Palao,8.227535302,124.2531114
Panoroganan,8.146600772,124.5197515
Poblacion,8.229358174,124.2369068
Puga-an,8.216279489,124.2811346
Rogongon,8.278968231,124.4148087
San Miguel,8.238460237,124.2475933
San Roque,8.260939216,124.2717172
Santa Elena,8.17584602,124.2465445
Santa Filomena,8.266326155,124.2680629
Santiago,8.247920631,124.2465224
Santo Rosario,8.244830663,124.2523191
Saray,8.233476552,124.2377294
Suarez,8.20131372,124.2147493
Tambacan,8.221793084,124.234168
Tibanga,8.239353122,124.2420241
Tipanoy,8.200605335,124.2521272
Tomas L. Cabili,8.197654704,124.2289129
Tubod,8.212535701,124.2403995
Ubaldo Laya,8.21474232,124.2565063
Upper Hinaplanon,8.255750327,124.2776523
Upper Tominobo,8.166900957,124.2238002
Villa Verde,8.231050157,124.243711
